ISSN,Título,Estrato
2092-6731,3D Research,B3
0889-325X,ACI Materials Journal,A1
0889-3241,ACI Structural Journal,B1
0102-8979,AU. Arquitetura e Urbanismo,C 
Jan-75,Accident Analysis and Prevention,A1
0044-5967,Acta Amazonica (Impresso),B3
2179-975X,Acta Limnologica Brasiliensia (Online),B2
0102-6712,Acta Limnológica Brasiliensia,B2
1146-609X,Acta Oecologica (Montrouge),B2
1806-2563,Acta Scientiarum. Technology (Impresso),B1
1807-8664,Acta Scientiarum. Technology (Online),B1
1983-442X,Acústica e Vibrações,B5
1662-8985,Advanced Materials Research (Online),B2
2165-3410,Advances in Microbiology,C 
1369-4332,Advances in Structural Engineering,B2
1991-637X,African Journal of Agricultural Research,B4
1684-5315,African Journal of Biotechnology,B3
1993-8233,African Journal of Business Management,B4
2156-8561,Agricultural Sciences,C 
0308-521X,Agricultural Systems,B2
1982-8470,Agro@mbiente On-line,B4
0100-4298,Agroanalysis (FGV),B5
1405-3195,Agrociencia (Montecillo),B2
0100-7467,Agropecuária Técnica (UFPB),B5
1981-0997,Agrária (Recife. Online),B5
1748-8842,Aircraft Engineering and Aerospace Technology: an international journal,B2
0971-4693,Allelopathy Journal,B3
1809-4422,Ambiente & Sociedade (Online),B2
1678-8621,Ambiente Construído (Online),B2
1415-8876,Ambiente Construído (São Paulo. Impresso),B2
2175-9405,Ambiência (Online),B5
1808-0251,Ambiência (UNICENTRO),B4
1390-1230,America Latina en Movimiento,C 
2156-8251,American Journal of Analytical Chemistry,B3
1546-9239,American Journal of Applied Sciences,B3
1553-345X,American Journal of Environmental Sciences,B2
0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,B2
2321-2748,American Journal of Phytomedicine and Clinical Therapeutics,C 
1818-6769,American-Eurasian Journal of Agricultural & Environmental Sciences,B5
Jan-65,Anais da Academia Brasileira de Ciências (Impresso),B1
1677-3055,Analytica (São Paulo),B4
1759-9660,Analytical Methods (Print),B1
2214-9996,Ann Glob health,C 
1432-0576,Annales Geophysicae,B2
2373-9258,Annals of Clinical and Experimental Hypertension,C 
2161-5012,Annals of Management Science,C 
0101-9759,Anuário do Instituto de Geociências (UFRJ. Impresso),B2
0003-682X,Applied Acoustics,B2
0273-2289,Applied Biochemistry and Biotechnology,A2
1559-0291,Applied Biochemistry and Biotechnology (Online),B1
0926-3373,"Applied Catalysis. B, Environmental (Print)",B3
0306-2619,Applied Energy,A1
0143-6228,Applied Geography (Sevenoaks),B1
0307-904X,Applied Mathematical Modelling,C 
0096-3003,Applied Mathematics and Computation,A1
1660-9336,Applied Mechanics and Materials,B2
1662-7482,Applied Mechanics and Materials,B3
0141-1187,Applied Ocean Research,B2
1568-4946,Applied Soft Computing (Print),B2
0929-1393,Applied Soil Ecology (Print),B1
0169-4332,Applied Surface Science,B1
1359-4311,Applied Thermal Engineering,B5
0967-6120,Aquaculture International,B2
1365-2109,Aquaculture Research (Online),C 
1864-7790,Aquatic Biology (Internet),B2
1866-7511,Arabian Journal of Geosciences (Print),B4
1745-2007,Architectural Engineering and Design Management,B3
Mar-28,Architectural Science Review (Sydney),B4
0090-4341,Archives of Environmental Contamination and Toxicology (Print),C 
2317-3009,Archives of Health Investigation,B2
1815-5898,Arquitectura y Urbanismo,B4
1808-5741,Arquiteturarevista (UNISINOS),B5
0102-0935,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,B2
