ISSN,Título,Estrato
1980-4814,"ABCustos (São Leopoldo, RS)",B4
1944-8252,ACS Applied Materials & Interfaces (Online),A1
1944-8244,ACS Applied Materials & Interfaces (Print),A1
0001-1452,AIAA Journal (Print),A1
0001-1541,AIChE Journal,A1
1667-3055,ANALYTICA,B5
2225-7217,ARPN Journal of Science and Technology,B5
1085-3375,Abstract and Applied Analysis,A2
0949-1775,Accreditation and Quality Assurance,B1
0044-5967,Acta Amazonica (Impresso),B2
0094-5765,Acta Astronautica,A2
2236-0867,Acta Biomedica Brasiliensia,B5
Jan-70,Acta Mechanica,B1
1679-9216,Acta Scientiae Veterinariae (Online),B3
2317-8957,Acta Scientiae et Technicae,B5
1807-8648,Acta Scientiarum. Health Sciences (Online),B4
1806-2563,Acta Scientiarum. Technology (Impresso),B1
1807-8664,Acta Scientiarum. Technology (Online),B1
1982-422X,Acta Tecnológica,B5
1983-442X,Acústica e Vibrações,B5
2175-5787,Administração Pública e Gestão Social,B4
1438-1656,Advanced Engineering Materials (Print),B1
1662-8985,Advanced Materials Research (Online),B5
0169-1864,Advanced Robotics (Print),B1
0188-7009,Advances in Applied Clifford Algebras,B1
2070-0733,Advances in Applied Mathematics and Mechanics,B1
2160-0392,Advances in Chemical Engineering and Science,B5
1687-7357,Advances in High Energy Physics,B1
1687-8442,Advances in Materials Science and Engineering (Online),B1
1687-8434,Advances in Materials Science and Engineering (Print),B1
1687-8132,Advances in Mechanical Engineering (New York),B1
0065-3438,Advances in the Astronautical Sciences,B3
1518-3769,Advir (ASDUERJ),B5
1270-9638,Aerospace Science and Technology (Imprimé),A2
1991-637X,African Journal of Agricultural Research,B5
1990-3839,African Journal of Business Management,B5
1993-8233,African Journal of Business Management,B5
1984-2538,Agrarian (Dourados. Online),B4
0378-3774,Agricultural Water Management (Print),A1
0100-4298,Agroanalysis (FGV),B5
1981-0997,Agrária (Recife. Online),B2
1748-7188,Algorithms for Molecular Biology,B1
0103-4235,Alimentos e Nutrição (UNESP. Marilia),B4
1809-4422,Ambiente & Sociedade (Online),B3
1678-8621,Ambiente Construído (Online),B4
1414-753X,Ambiente e Sociedade (Campinas),B3
2320-0936,American Journal of Engineering Research,B5
2162-8424,American Journal of Materials Science,B5
